Date,Time,Venue,Capacity,Total Invigilators,Lead Invigilator,Special_Requirement,Special Skill Invigilators,Normal Invigilators,Backup Invigilators
2024-05-23,AM,EC Stoner Cluster (6.61),40,1,Mr. Kevin Collins,no,[],[],"['Stephanie Spencer', 'Julie Hayes', 'Michael Peterson']"
2024-05-23,AM,EC Stoner Cluster (6.68),43,1,James Miller,no,[],[],"['Taylor Cortez', 'Matthew Hoffman', 'Vickie Rojas']"
2024-05-23,AM,Emmanuel Centre SR 02,1,1,Nancy Shaw,yes,[],[],['David Thomas']
2024-05-23,AM,Emmanuel Centre SR 10,3,1,Leonard Welch,yes,[],[],['Dawn Thomas']
2024-05-23,AM,Emmanuel Centre SR 11,8,2,Lee Turner,yes,['Anthony Stout'],[],['Richard Knight']
2024-05-23,AM,English SR 1 (LG.04) House 10 Cavendish Road,5,1,Tami Young,yes,[],[],['Chelsey Hunter']
2024-05-23,AM,English SR 3 (LG.01) House 10 Cavendish Road,4,1,Cristian Brooks,yes,[],[],['Gabriela Stevenson']
2024-05-23,AM,Fourman O and P Cluster (8.49),92,3,Mary Marquez DDS,no,[],"['Lauren Townsend', 'Tamara Chapman MD']","['Justin Davis', 'Ronald Jones', 'Gina Watkins']"
2024-05-23,AM,Great Hall,145,4,James Johnson,no,[],"['Jordan Moses', 'Mark Thompson', 'Brad Guzman']","['Paul Ray DDS', 'John Alvarez', 'Kayla Greene']"
2024-05-23,AM,Irene Manton North Cluster (7.96),4,1,Wayne Morgan,no,[],[],['Kimberly Jackson']
2024-05-23,AM,Irene Manton South Cluster (7.90),1,1,Gene Cross,no,[],[],['Nathaniel Faulkner']
2024-05-23,AM,Michael Sadler SR (1.19),1,1,Jennifer Schwartz,yes,[],[],['Kari Thornton']
2024-05-23,AM,Michael Sadler SR (B.37),3,1,Jacqueline Shaw,yes,[],[],['Amy Sims']
2024-05-23,AM,Michael Sadler SR (B.49),3,1,Hector Wilson,yes,[],[],['Daniel Rasmussen']
2024-05-23,AM,Michael Sadler SR (LG.10),54,1,David Cisneros,no,[],[],"['Gina Cochran', 'Travis Sullivan', 'Marie Rodriguez']"
2024-05-23,AM,Michael Sadler World Cinema Rm (B.36),7,2,Christopher Neal,yes,['Kelly Walker'],[],['Charles Zimmerman']
2024-05-23,AM,Psychology Cluster (1.43),15,1,Laura Mcdaniel,no,[],[],['Miss Cindy Villegas MD']
2024-05-23,AM,Psychology Cluster (1.45),20,1,Raymond Washington,no,[],[],['Thomas Robinson']
2024-05-23,AM,Room UG09 (Great Hall Building),94,3,Kathleen Shelton,no,[],"['Kelly Garcia', 'Sarah Scott']","['Reginald Burns', 'Evelyn Johnson', 'Greg Pitts']"
2024-05-23,AM,Social Sciences SR (10.05),7,2,Ruth Mcmillan,yes,['Kayla Christensen'],[],['Austin Smith Jr.']
2024-05-23,AM,Social Sciences SR (10.07),7,2,Shelly Wood,yes,['Andrew Hood'],[],['James Cruz']
2024-05-23,AM,Social Sciences SR (10.10),4,1,Robin Martinez,yes,[],[],['Mitchell Stephens']
2024-05-23,AM,Textiles Computer Cluster (G.34),9,3,Anthony Taylor,yes,"['Reginald Burns', 'Nicole Barnes']",[],['Leah Roman']
2024-05-23,AM,The Edge (Sports Hall 1),309,10,Thomas Williams,no,[],"['Marisa Hall', 'David Lewis', 'Michael Brennan', 'Megan Romero', 'Marie Phillips', 'Timothy Lewis', 'Mr. David Monroe', 'Charles Thompson', 'Troy Reed']","['Jose Obrien', 'Christopher Walton', 'Joseph Barnes']"
2024-05-23,AM,The Edge (Sports Hall 2),201,6,Tiffany Jones,no,[],"['Monique Owens', 'Dwayne Pearson', 'Nicole Glover', 'Kent Burke', 'Terry Jenkins']","['Amber Blevins', 'Cameron Smith', 'Jason Guzman']"
2024-05-23,PM,Cohen Computer Cluster A&B (1.40),55,1,Nicole Martinez DVM,no,[],[],"['Mr. Billy Cardenas', 'Keith Bowman', 'Jordan Reilly']"
2024-05-23,PM,Emmanuel Centre SR 01,1,1,Claudia Santos,yes,[],[],['Haley Burton']
2024-05-23,PM,English SR 2 (LG.06) House 10 Cavendish Road,3,1,Margaret Smith,yes,[],[],['Jennifer Mcdonald']
2024-05-23,PM,English SR 3 (LG.01) House 10 Cavendish Road,4,1,Meghan Williams,yes,[],[],['Brandy Clark MD']
2024-05-23,PM,Michael Sadler SR (1.19),1,1,Susan Bates,yes,[],[],['Allison Howard']
2024-05-23,PM,Michael Sadler SR (2.01),1,1,Robert Ward,yes,[],[],['Diane Simpson']
2024-05-23,PM,Michael Sadler SR (LG.10),36,1,Amanda Roberts,no,[],[],"['Megan Romero', 'Pamela Smith', 'George Hughes']"
2024-05-23,PM,Michael Sadler SR (LG.15),26,1,Adam Lopez,no,[],[],['Marie Phillips']
2024-05-23,PM,Psychology Cluster (1.43),8,1,Christian Carrillo,no,[],[],['Mr. David Monroe']
2024-05-23,PM,Psychology Cluster (1.45),10,1,Jennifer Thompson DVM,no,[],[],['Dylan Bates']
2024-05-23,PM,Social Sciences SR (10.06),5,1,Katherine Rubio,yes,[],[],['Melinda Bennett']
2024-05-23,PM,Social Sciences SR (10.07),5,1,Eric Hall,yes,[],[],['Nicole Ward']
2024-05-23,PM,Social Sciences SR (10.10),8,2,Christopher Burgess,yes,['Christy Davis'],[],['April Barrera']
2024-05-23,PM,Social Sciences SR (12.38),11,3,Kayla Chang,yes,"['James Davis', 'Theresa Harrison']",[],['Angelica Stein']
2024-05-23,PM,Textiles Computer Cluster (G.34),4,1,Jennifer Reed,yes,[],[],['Sara Allen']
2024-05-23,PM,The Edge (Sports Hall 1),509,16,Cody Reeves,no,[],"['David Patel', 'James West', 'Brian Schmidt', 'Patricia Washington', 'Cynthia Weber', 'Amber Dudley', 'Jack Meadows', 'Mason Taylor MD', 'Eric Caldwell', 'Laura Erickson', 'Michael Morris', 'Kelly Brown', 'Laura Smith', 'Dr. Tammy Chavez', 'Jordan Marsh']","['Dwayne Pearson', 'Debra Mills', 'Randy Hall']"
2024-05-23,PM,The Edge (Sports Hall 2),287,9,Ross Evans,no,[],"['Haley Burton', 'Randall Weiss', 'Ricky Terry', 'Ralph Hood', 'Tony Lopez', 'Martin Willis', 'Ariana Sanders', 'Rita Bates']","['Kimberly Vargas', 'Alicia Williams', 'Kathy Zamora']"
2024-05-24,AM,Chemistry West Block SR (1.65),7,2,Tyler Williams,yes,['Travis Thompson'],[],['Bryan Silva']
2024-05-24,AM,Chemistry West Block SR (G.75),4,1,Jennifer Mcdonald,yes,[],[],['April Hall']
2024-05-24,AM,Cohen Computer Cluster A&B (1.40),83,2,Mary Johnson DVM,no,[],['Thomas Robinson'],"['David Lewis', 'Daisy Patton', 'Steven Chang']"
2024-05-24,AM,EC Stoner Cluster (6.61),1,1,Mark Johnson,no,[],[],['Anthony Stout']
2024-05-24,AM,EC Stoner Cluster (6.68),40,1,Carolyn Davis,no,[],[],"['Dr. Tammy Chavez', 'Scott Mccann', 'Christina Ayers']"
2024-05-24,AM,EC Stoner SR (7.79),16,5,Leslie Fox,yes,"['Robert Hart', 'Cassidy Stanley', 'Leah Roman', 'Casey Horn']",[],['Wendy Carter']
2024-05-24,AM,Emmanuel Centre SR 02,1,1,Jennifer Robles,yes,[],[],['Kenneth Munoz']
2024-05-24,AM,Emmanuel Centre SR 04,1,1,Sabrina Cruz,yes,[],[],['Sarah Taylor']
2024-05-24,AM,Emmanuel Centre SR 05,1,1,Cameron Rich,yes,[],[],['Nicole Walker']
2024-05-24,AM,Emmanuel Centre SR 10,6,2,Heather Hampton,yes,['Laura Reed'],[],['Jonathan Bryant']
2024-05-24,AM,Emmanuel Centre SR 11,8,2,Bruce Adkins,yes,['Hannah Taylor'],[],['Joe Gillespie']
2024-05-24,AM,English SR 1 (LG.04) House 10 Cavendish Road,5,1,Sonya Jenkins,yes,[],[],['Rebecca Drake']
2024-05-24,AM,English SR 2 (LG.06) House 10 Cavendish Road,2,1,Tracey Armstrong,yes,[],[],['Elizabeth Donaldson']
2024-05-24,AM,English SR 7 (LG.05) House 5 Cavendish Road,3,1,Shane Stafford,yes,[],[],['Lisa Whitaker']
2024-05-24,AM,Fourman O and P Cluster (8.49),90,3,Anita Adkins,no,[],"['Nicole King', 'Shannon Randolph']","['Tony Lopez', 'Rachael Berry', 'Crystal Rodriguez']"
2024-05-24,AM,Great Hall,158,5,Thomas Johnson,no,[],"['Christopher Sherman', 'Kevin Murphy', 'Jeff Spencer', 'Nancy Perez']","['Kent Burke', 'Jake Williamson', 'Christopher Parker']"
2024-05-24,AM,Irene Manton North Cluster (7.96),19,1,Allison Howard,no,[],[],['Martin Willis']
2024-05-24,AM,Irene Manton South Cluster (7.90),17,1,John Powers,no,[],[],['Carlos Torres']
2024-05-24,AM,Michael Sadler SR (1.19),1,1,Jason Ballard,yes,[],[],['Ronnie Harris']
2024-05-24,AM,Michael Sadler SR (LG.10),70,2,Cindy Lopez,no,[],['Kimberly Hurst'],"['Mrs. Lisa Everett', 'Scott Stanton PhD', 'Stephanie Washington']"
2024-05-24,AM,Michael Sadler SR (LG.15),40,1,Linda Jimenez,no,[],[],"['Andrew Cohen', 'Michael Fox', 'Eric White']"
2024-05-24,AM,Michael Sadler World Cinema Rm (B.36),6,2,Cynthia Johnson,yes,['Lori Martin'],[],['Sarah Sharp']
2024-05-24,AM,Newlyn SR (GR.01),51,1,Jennifer Gutierrez,no,[],[],"['Ricky Salazar', 'Tamara Chapman MD', 'Lauren Townsend']"
2024-05-24,AM,Newlyn SR (GR.07),40,1,Jennifer Galvan,no,[],[],"['Lauren Banks', 'Kathryn Smith', 'Jane Hood']"
2024-05-24,AM,Parkinson SR (B.09),12,1,Emma Rubio,no,[],[],['Thomas West']
2024-05-24,AM,Psychology Cluster (1.43),9,1,Timothy Thompson,no,[],[],['Brian Robinson']
2024-05-24,AM,Psychology Cluster (1.45),6,1,Amanda Lyons,no,[],[],['Travis Thompson']
2024-05-24,AM,Room UG09 (Great Hall Building),82,2,Luis Robertson,no,[],['Krystal Galvan'],"['Danielle Holt', 'Daniel Gray', 'Heather Duran DVM']"
2024-05-24,AM,Social Sciences SR (10.05),10,3,Melissa Hamilton,yes,"['David Brooks', 'Amanda Phillips']",[],['Cody Hopkins']
2024-05-24,AM,Social Sciences SR (10.06),9,3,Ashley Martinez,yes,"['Andrew Bradford', 'Kevin Norris']",[],['Jenna Patterson']
2024-05-24,AM,Social Sciences SR (12.38),10,3,Frank Hall,yes,"['Danielle Holt', 'Christopher Goodwin']",[],['Samuel Freeman']
2024-05-24,AM,Textiles Computer Cluster (G.34),4,1,Kelly Perez,yes,[],[],['Michael Morris']
2024-05-24,AM,The Edge (Sports Hall 1),512,17,Daniel Gray,no,[],"['Angelica Stein', 'Matthew Lane', 'Amanda Ingram', 'Jon Hanson', 'Amanda Baker', 'Mrs. Lisa Everett', 'Thomas West', 'Michelle Johnson', 'Christine Warren', 'Daniel Nicholson', 'Bruce Ramos', 'Mrs. Laura Obrien', 'Brandon Castro', 'Tracy Maynard', 'Aimee Tucker', 'Melinda Bennett']","['Michael Hood', 'Marilyn Johnson', 'James Hoffman']"
2024-05-24,AM,The Edge (Sports Hall 2),235,7,Benjamin Lynch,no,[],"['Marisa Thompson', 'William Riley DDS', 'Angel Jones', 'Kimberly Barrett', 'Willie Flores', 'Samantha Lynch']","['Elizabeth Richard', 'Meghan Williams', 'Dr. Shane Randall']"
2024-05-24,PM,Emmanuel Centre SR 01,1,1,Brittany Perez,yes,[],[],['Lori Wells']
2024-05-24,PM,English SR 2 (LG.06) House 10 Cavendish Road,1,1,Andrea Taylor,yes,[],[],['Douglas Gonzalez']
2024-05-24,PM,Chemistry West Block SR (1.65),7,2,John Howell,yes,['Carol Wiley'],[],['Janet Marshall']
2024-05-24,PM,Chemistry West Block SR (G.75),5,1,Gregory Morton,yes,[],[],['Nathan Carroll']
2024-05-24,PM,EC Stoner Cluster (6.61),8,1,John Ibarra,no,[],[],['Amy Holland']
2024-05-24,PM,EC Stoner Cluster (6.68),22,1,Ashley Harris,no,[],[],['Kristina Hill']
2024-05-24,PM,EC Stoner SR (7.70),12,4,Yvette Watts,yes,"['Mrs. Emily Andrews', 'Jordan Park', 'Sharon Johnston']",[],['Christy Davis']
2024-05-24,PM,EC Stoner SR (7.78),7,2,Michael Hampton,yes,['Michelle Stephenson'],[],['Sheila Harris']
2024-05-24,PM,EC Stoner SR (7.79),20,6,Jennifer Simpson,yes,"['Carlos Torres', 'Brandi Cooper', 'Stephanie Hall', 'Mitchell Stephens', 'Dominique Mccoy']",[],['Dominique Smith']
2024-05-24,PM,Emmanuel Centre SR 01,1,1,Nathaniel House,yes,[],[],['Kimberly Barrett']
2024-05-24,PM,Emmanuel Centre SR 02,1,1,Elijah May,yes,[],[],['David Ellis']
2024-05-24,PM,Emmanuel Centre SR 10,5,1,Johnny Harrison,yes,[],[],['Samantha Lynch']
2024-05-24,PM,Great Hall,98,3,Elaine Murray,no,[],"['Karen Lee', 'William Flores']","['Ariana Sanders', 'Thomas Gregory', 'Brian Lozano']"
2024-05-24,PM,Irene Manton North Cluster (7.96),4,1,Julie Bonilla,no,[],[],['Dr. Sarah Hunter']
2024-05-24,PM,Michael Sadler SR (1.19),1,1,Steven Reid,yes,[],[],['Mary Sweeney']
2024-05-24,PM,Michael Sadler SR (1.37),1,1,Kevin Vargas,yes,[],[],['Levi Garcia']
2024-05-24,PM,Michael Sadler SR (2.01),1,1,Taylor Leon,yes,[],[],['Megan Walker']
2024-05-24,PM,Michael Sadler SR (B.37),6,2,Marvin Caldwell,yes,['Darrell Ross'],[],['Micheal Mason']
2024-05-24,PM,Michael Sadler World Cinema Rm (B.36),5,1,Kenneth Munoz,yes,[],[],['Jesse Adkins']
2024-05-24,PM,Parkinson SR (B.08),17,1,Heather Ross,no,[],[],['Stephanie Carter']
2024-05-24,PM,Parkinson SR (B.09),6,1,Aaron Patterson,no,[],[],['Gregory Lindsey']
2024-05-24,PM,Psychology Cluster (1.43),10,1,Michelle Carson,no,[],[],['Jennifer Navarro']
2024-05-24,PM,Psychology Cluster (1.45),1,1,Paul Ray DDS,no,[],[],['Brian Dean']
2024-05-24,PM,Room UG09 (Great Hall Building),95,3,Daniel Richards,no,[],"['Gregory Nolan', 'Melinda Farrell']","['Connor Taylor', 'Denise Ward', 'Thomas Williams']"
2024-05-24,PM,Social Sciences SR (10.05),7,2,Raymond Young,yes,['Lisa Lin'],[],['Nicole Hartman']
2024-05-24,PM,Social Sciences SR (10.06),8,2,Joseph Nichols,yes,['Kathryn Moore'],[],['Natasha Parker']
2024-05-24,PM,Social Sciences SR (10.10),4,1,Alyssa Sanchez,yes,[],[],['Morgan Reese']
2024-05-24,PM,Social Sciences SR (12.38),10,3,Timothy Lee,yes,"['Elizabeth Donaldson', 'Nina Silva']",[],['Kathy Zimmerman']
2024-05-24,PM,Textiles Computer Cluster (G.34),4,1,Lisa Phillips,yes,[],[],['Linda Nelson']
2024-05-24,PM,The Edge (Sports Hall 1),527,17,Jennifer Wilson,no,[],"['Michael Maxwell', 'Elizabeth Richard', 'Amanda Jenkins', 'Christine Pugh', 'Lynn Smith', 'Jesse Adkins', 'Jordan Zuniga', 'Linda Nelson', 'Ricky Campbell', 'Andrew Perez', 'Christian Atkinson', 'John Turner', 'Dr. Edward Adams', 'Amanda Warren', 'Melanie Douglas', 'Jackie Sandoval']","['Cheryl Flores', 'Melissa Russell', 'Stephanie Hicks']"
2024-05-24,PM,The Edge (Sports Hall 2),258,8,Richard Williams,no,[],"['Luis Logan', 'Nicholas Jordan', 'Christina Thomas', 'Kathy Zimmerman', 'Kathleen Rodriguez', 'Robert Johnson', 'Ricardo Beard']","['Patrick Hood', 'Mary Nolan', 'Richard Jones']"
2024-05-29,AM,Chemistry West Block SR (1.65),9,3,Mark Jones,yes,"['Jennifer Campbell', 'Samantha Hart']",[],['Jim Leon']
2024-05-29,AM,Chemistry West Block SR (1.80),10,1,Allison Burton,no,[],[],['Denise Love']
2024-05-29,AM,Chemistry West Block SR (G.75),9,3,April Wright,yes,"['Jonathan Bryant', 'Douglas Gonzalez']",[],['James Young']
2024-05-29,AM,EC Stoner Cluster (6.61),22,1,Henry Burns,no,[],[],['Elizabeth Wells']
2024-05-29,AM,EC Stoner SR (7.70),12,4,Sarah George,yes,"['Dustin Lee', 'Sandra Jenkins', 'Katelyn Dennis']",[],['Hannah Taylor']
2024-05-29,AM,EC Stoner SR (7.78),13,4,Justin Mcpherson,yes,"['Melissa Hodge', 'Alicia Williams', 'Meagan Hernandez']",[],['Daniel Morrison']
2024-05-29,AM,EC Stoner SR (7.79),10,3,Mr. Cody Calhoun,yes,"['Dana Goodwin', 'Adam Allen']",[],['Tiffany Jones']
2024-05-29,AM,Emmanuel Centre SR 01,1,1,Lauren Peters,yes,[],[],['Laura Mcdaniel']
2024-05-29,AM,Emmanuel Centre SR 02,1,1,Sara Boone,yes,[],[],['Leonard Welch']
2024-05-29,AM,Emmanuel Centre SR 03,1,1,Carla Woods,yes,[],[],['John Turner']
2024-05-29,AM,Emmanuel Centre SR 04,1,1,Michael Rody,yes,[],[],['Denise Davis']
2024-05-29,AM,Emmanuel Centre SR 05,1,1,Allen Sanchez,yes,[],[],['Cody Gallagher']
2024-05-29,AM,Emmanuel Centre SR 06,1,1,Norman Bowman,yes,[],[],['Molly Keith']
2024-05-29,AM,Emmanuel Centre SR 07,1,1,Lisa Lowery,yes,[],[],['Benjamin Trujillo']
2024-05-29,AM,Emmanuel Centre SR 08,1,1,Shannon Cook,yes,[],[],['Kyle Watkins']
2024-05-29,AM,English SR 2 (LG.06) House 10 Cavendish Road,5,1,Sarah Sharp,yes,[],[],['Colleen Avila']
2024-05-29,AM,Fourman O and P Cluster (8.49),91,3,Tasha Morrison,no,[],"['Peggy Conley', 'Jamie Jordan']","['Shawn Hutchinson', 'Mason Taylor MD', 'Amanda Lyons']"
2024-05-29,AM,Great Hall,151,5,Lisa Erickson,no,[],"['Kerri Sanchez', 'Stephen Wells', 'Rebecca Wall', 'David Ellis']","['Peggy Alvarez', 'Angel Jones', 'Jennifer King']"
2024-05-29,AM,Irene Manton South Cluster (7.90),5,1,Lee Brooks,no,[],[],['Laurie Finley']
2024-05-29,AM,Michael Sadler SR (1.19),1,1,Brittany Stanton,yes,[],[],['Tasha Morrison']
2024-05-29,AM,Michael Sadler SR (1.37),1,1,Gina Lee,yes,[],[],['Amanda Warren']
2024-05-29,AM,Michael Sadler SR (2.01),1,1,Nicole Martin,yes,[],[],['Susan Hampton']
2024-05-29,AM,Michael Sadler SR (B.37),5,1,Timothy Jones,yes,[],[],['Angela Reese']
2024-05-29,AM,Michael Sadler SR (LG.10),71,2,Dylan Wilson,no,[],['Carla Moss'],"['David Cisneros', 'Willie Wilson', 'Michelle Wells']"
2024-05-29,AM,Michael Sadler SR (LG.15),40,1,Hannah Ball,no,[],[],"['Shelly Wood', 'Marisa Martin', 'Anita Adkins']"
2024-05-29,AM,Michael Sadler World Cinema Rm (B.36),3,1,William Reed,yes,[],[],['Monique Owens']
2024-05-29,AM,Psychology Cluster (1.43),21,1,Sharon Oconnor,no,[],[],['Michelle Montoya']
2024-05-29,AM,Psychology Cluster (1.45),7,1,Melissa Payne,no,[],[],['Amanda Brown']
2024-05-29,AM,Room UG09 (Great Hall Building),56,1,Christopher Walton,no,[],[],"['Michael Townsend', 'Jamie Jordan', 'Olivia Patrick']"
2024-05-29,AM,Social Sciences SR (12.38),12,4,Joshua Cooke,yes,"['Richard Knight', 'April Smith', 'Dr. Cynthia Coleman']",[],['Lee Turner']
2024-05-29,AM,Textiles Computer Cluster (G.34),5,1,Adam Patterson,yes,[],[],['Allen Sanchez']
2024-05-29,AM,The Edge (Sports Hall 1),497,16,Jason Payne,no,[],"['Nicholas Bryant', 'Joanne Pineda', 'Laura Silva', 'Joshua Herrera', 'Richard Joyce', 'Robert Harrison', 'Madison Gomez', 'Jacob Zimmerman', 'Tina Henry', 'Scott Contreras', 'Michael Phillips', 'Jack Delacruz', 'Sandra Martin', 'James Mitchell', 'Jeremy Robinson']","['Alexandra Harper', 'Jennifer Robles', 'Amanda Baker']"
2024-05-29,AM,The Edge (Sports Hall 2),234,7,Amanda Brown,no,[],"['Mary Brown', 'Alan Kim', 'Benjamin Forbes', 'Eduardo Shaw', 'Kyle Washington', 'Lisa Young']","['Andrew Hood', 'Sabrina Cruz', 'Kenneth Berger']"
2024-05-29,PM,EC Stoner Cluster (6.68),22,1,Jennifer Miller,no,[],[],['John Spears']
2024-05-29,PM,EC Stoner SR (7.78),5,1,Jennifer Singh,yes,[],[],['Yolanda Diaz']
2024-05-29,PM,EC Stoner SR (7.79),16,5,Nathan Taylor,yes,"['Nicole Ward', 'Eric Day', 'Thomas Velez', 'Samantha Rose DDS']",[],['Jennifer Brown']
2024-05-29,PM,Emmanuel Centre SR 01,1,1,Linda Page,yes,[],[],['Michelle Dunn']
2024-05-29,PM,Fourman O and P Cluster (8.49),55,1,Devin Thomas,no,[],[],"['Jennifer Miller', 'Erica Rodriguez', 'Chris Hernandez']"
2024-05-29,PM,Great Hall,140,4,Sarah Mejia,no,[],"['David Gallegos', 'Jeanne Martin', 'Jessica Wilson']","['Wayne Morgan', 'Christine Pugh', 'James Davis']"
2024-05-29,PM,Irene Manton North Cluster (7.96),21,1,Cynthia Rivera,no,[],[],['Christine Warren']
2024-05-29,PM,Martin Thomas Translation Lab 1 (1.30),17,1,Shannon Gallegos,no,[],[],['Casey Horn']
2024-05-29,PM,Martin Thomas Translation Lab 2 (1.30a),3,1,James Pennington,no,[],[],['Andrew Perez']
2024-05-29,PM,Michael Sadler SR (LG.10),67,2,Dennis Nixon,no,[],['Tammy Mccarty'],"['Carol Abbott', 'Bonnie Zamora', 'Timothy Lewis']"
2024-05-29,PM,Psychology Cluster (1.43),8,1,Lori Hopkins,no,[],[],['Denise Brooks']
2024-05-29,PM,Psychology Cluster (1.45),13,1,Kayla Collins,no,[],[],['Richard Harris']
2024-05-29,PM,Social Sciences SR (10.05),10,3,Dennis Johnson,yes,"['Gina Cochran', 'Jennifer Haynes']",[],['David Zuniga']
2024-05-29,PM,Social Sciences SR (10.06),4,1,Wanda Lewis,yes,[],[],['Victoria Lopez']
2024-05-29,PM,Social Sciences SR (12.38),8,2,Cheryl Flores,yes,['Ashley Green'],[],['Paul Martinez']
2024-05-29,PM,Textiles Computer Cluster (G.34),4,1,Jennifer Moreno,yes,[],[],['Kathleen Rodriguez']
2024-05-29,PM,The Edge (Sports Hall 1),514,17,Kevin Robles,no,[],"['Susan Hernandez', 'Jennifer Brown DDS', 'Margaret Aguirre', 'Dustin Brown', 'Michael Velez', 'Paula Woods', 'Aaron Powell', 'Susan Mason', 'Evelyn Johnson', 'Melissa Jones', 'Juan Smith', 'Lisa Serrano', 'Scott Johnston', 'Antonio Poole', 'Denise Love', 'April Barrera']","['Elizabeth Riley', 'Christopher Burgess', 'Jennifer Joseph']"
2024-05-29,PM,The Edge (Sports Hall 2),171,5,William Young,no,[],"['Justin Green', 'Joel Holmes', 'Ellen Nunez', 'Benjamin Christian']","['Chris Bond', 'Emma Rubio', 'Jamie Murphy']"
2024-05-30,AM,Chemical and Process Engineering Cluster (GR.06),59,1,Elizabeth Riley,no,[],[],"['Theresa Harrison', 'Troy Reed', 'Lonnie Camacho']"
2024-05-30,AM,Cohen Computer Cluster A&B (1.40),90,3,Nicole Walker,no,[],"['Andrew Rodriguez', 'Erica Russell']","['Kayla Collins', 'Kimberly Figueroa', 'Michael Jackson']"
2024-05-30,AM,EC Stoner Cluster (6.61),37,1,Monica Davidson,no,[],[],"['Jennifer Schwartz', 'Linda Jimenez', 'Tyler Williams']"
2024-05-30,AM,EC Stoner Cluster (6.68),43,1,Lisa Whitaker,no,[],[],"['Mrs. Laura Obrien', 'Mr. Kevin Collins', 'Jennifer Gutierrez']"
2024-05-30,AM,EC Stoner SR (7.70),13,4,Jennifer Navarro,yes,"['Gabriela Stevenson', 'Tammy Jacobs', 'Patrick Dickerson']",[],['Christopher Neal']
2024-05-30,AM,EC Stoner SR (7.78),7,2,Tamara Reynolds,yes,['Kristi Fischer'],[],['Stephanie Hall']
2024-05-30,AM,EC Stoner SR (7.79),20,6,Patricia Kelly,yes,"['Shawn Garcia', 'Dylan Bates', 'Jordan Simon', 'Daniel Rasmussen', 'Janet Marshall']",[],['Gabrielle Evans']
2024-05-30,AM,Emmanuel Centre SR 01,1,1,Alexandra Valencia,yes,[],[],['Melanie Jackson']
2024-05-30,AM,Fourman O and P Cluster (8.49),100,3,Vickie Rojas,no,[],"['Pedro Mcdaniel', 'Nicholas Hudson']","['Brandon Castro', 'Mrs. Brianna Hunter', 'Jeremy Harris Jr.']"
2024-05-30,AM,Great Hall,78,2,Kristen Smith,no,[],['Lisa Jacobs'],"['Marissa Baker', 'Margaret Hicks', 'Ashley Fisher']"
2024-05-30,AM,Irene Manton North Cluster (7.96),5,1,Jennifer Delgado,no,[],[],['Sarah Wyatt']
2024-05-30,AM,Irene Manton South Cluster (7.90),26,1,Mia Collins,no,[],[],['Tracy Maynard']
2024-05-30,AM,Michael Sadler SR (1.19),1,1,Alan Williams,yes,[],[],['Margaret Smith']
2024-05-30,AM,Michael Sadler SR (B.49),3,1,Todd Cardenas,yes,[],[],['Amber Flowers']
2024-05-30,AM,Michael Sadler World Cinema Rm (B.36),7,2,Chris Bond,yes,['Willie Wilson'],[],['Kayla Chang']
2024-05-30,AM,Psychology Cluster (1.43),8,1,Brent Cole,no,[],[],['William Aguirre']
2024-05-30,AM,Psychology Cluster (1.45),11,1,Jennifer Brown,no,[],[],['Melissa Hamilton']
2024-05-30,AM,Room UG09 (Great Hall Building),76,2,Dustin Carter,no,[],['Billy Martin'],"['Francisco Miller', 'Jennifer Jones', 'Erika Spencer']"
2024-05-30,AM,Social Sciences SR (10.10),8,2,Bryce Campbell,yes,['Brian Lozano'],[],['John Powers']
2024-05-30,AM,Textiles Computer Cluster (G.34),5,1,Rebecca Drake,yes,[],[],['Jennifer Reed']
2024-05-30,AM,The Edge (Sports Hall 1),479,15,Daniel Griffith,no,[],"['Eric Daniel', 'Kelsey Chavez', 'Jessica Nolan', 'Casey Bailey', 'Brittany Sexton DDS', 'Monica Jackson', 'Helen Conner', 'Robert Bradshaw', 'Charles Wise', 'Ian Johnson', 'Matthew Vaughn', 'Melissa Dickerson', 'Rebecca Foster', 'Nicole Pacheco']","['Jessica Macdonald', 'James Rogers', 'Kimberly York']"
2024-05-30,AM,The Edge (Sports Hall 2),288,9,Wyatt Harris,no,[],"['Melissa Sims', 'Joann King', 'John Spears', 'Elizabeth Glass', 'Raymond Figueroa', 'Charles Zimmerman', 'Jane Hood', 'Laura Ramirez']","['Nicole Martinez DVM', 'Ralph Patton', 'Jade Porter']"
2024-05-30,PM,Irene Manton North Cluster (7.96),1,1,Paul Wilson,no,[],[],['Joshua Long']
2024-05-30,PM,Chemical and Process Engineering Cluster (GR.06),75,2,Michael Townsend,no,[],['Stephanie Carter'],"['Joseph Cruz', 'Mary Marquez DDS', 'April Smith']"
2024-05-30,PM,Chemistry West Block SR (1.80),12,1,Mary Hensley,no,[],[],['Frank Hall']
2024-05-30,PM,Cohen Computer Cluster A&B (1.40),39,1,George Shaw,no,[],[],"['Robert Ward', 'Patricia George', 'Ruth Mcmillan']"
2024-05-30,PM,Conference Gallery,91,3,Devin Gonzalez,no,[],"['Christopher Garcia', 'Ryan Barnett']","['Michelle Stephenson', 'Heather Hampton', 'Alan Hess']"
2024-05-30,PM,EC Stoner Cluster (6.61),37,1,John Owens,no,[],[],"['Carol Wiley', 'Brian Maldonado', 'Bruce Adkins']"
